UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
20:21:00, 74, 8, 101658,  ,  , 13.66, 87.20,  ,  ,  , 
20:21:02, 74, 8, 101660,  ,  , 13.65, 86.15,  ,  ,  , 
20:21:02, 74, 8, 101660,  ,  , 13.62, 85.80,  ,  ,  , 
20:21:03, 74, 8, 101660,  ,  , 13.61, 85.60,  ,  ,  , 
20:21:04, 74, 8, 101660,  ,  , 13.59, 85.45,  ,  ,  , 
20:21:05, 74, 8, 101660,  ,  , 13.58, 85.25,  ,  ,  , 
20:21:06, 74, 8, 101661,  ,  , 13.56, 85.00,  ,  ,  , 
20:21:07, 74, 8, 101662,  ,  , 13.53, 84.85,  ,  ,  , 
20:21:08, 74, 8, 101663,  ,  , 13.48, 84.65,  ,  ,  , 
20:21:09, 74, 8, 101664,  ,  , 13.45, 84.60,  ,  ,  , 
20:21:10, 74, 8, 101666,  ,  , 13.43, 84.50,  ,  ,  , 
20:21:11, 74, 8, 101666,  ,  , 13.39, 84.45,  ,  ,  , 
20:21:12, 74, 8, 101667,  ,  , 13.37, 84.50,  ,  ,  , -0.1
20:21:13, 73, 7, 101668,  ,  , 13.32, 84.50,  ,  ,  , -0.1
20:21:14, 73, 7, 101669,  ,  , 13.28, 84.55,  ,  ,  , -0.1
20:21:15, 73, 7, 101670,  ,  , 13.24, 84.65,  ,  ,  , -0.1
20:21:16, 73, 7, 101672,  ,  , 13.18, 84.75,  ,  ,  , -0.1
20:21:17, 73, 7, 101672,  ,  , 13.15, 84.90,  ,  ,  , -0.1
20:21:18, 73, 7, 101672,  ,  , 13.11, 85.10,  ,  ,  , -0.1
20:21:19, 73, 7, 101672,  ,  , 13.07, 85.25,  ,  ,  , -0.1
20:21:20, 73, 7, 101670,  ,  , 13.03, 85.30,  ,  ,  , -0.1
20:21:21, 73, 7, 101669,  ,  , 13.01, 85.45,  ,  ,  , 0
20:21:22, 73, 7, 101668,  ,  , 12.98, 85.55, 17.2,  ,  , 0
20:21:23, 73, 7, 101669,  ,  , 12.96, 85.70,  ,  ,  , 0
20:21:24, 73, 7, 101670,  ,  , 12.93, 85.85,  ,  ,  , 0
20:21:25, 73, 7, 101672,  ,  , 12.89, 85.95,  ,  ,  , 0
20:21:26, 73, 7, 101670,  ,  , 12.85, 86.10,  ,  ,  , 0
20:21:27, 73, 7, 101669,  ,  , 12.82, 86.15,  ,  ,  , 0
20:21:28, 73, 7, 101668,  ,  , 12.78, 86.20,  ,  ,  , 0
20:21:29, 73, 7, 101671,  ,  , 12.73, 86.30,  ,  ,  , 0
20:21:30, 73, 7, 101674,  ,  , 12.70, 86.40,  ,  ,  , 0
20:21:31, 73, 7, 101678,  ,  , 12.67, 86.55,  ,  ,  , 0
20:21:34, 73, 7, 101674, 0.45, 251.60, 12.58, 86.95,  , -37.794578, 144.961988, 0
20:21:35, 74, 8, 101660, 0.50, 252.40, 12.57, 87.15,  ,  ,  , 0.1
20:21:36, 75, 9, 101652, 0.60, 249.00, 12.56, 87.40,  ,  ,  , 0.1
20:21:37, 75, 9, 101644, 0.15, 249.00, 12.55, 87.55,  , -37.794562, 144.962030, 0.2
20:21:38, 75, 9, 101654, 0.20, 58.00, 12.55, 87.90,  ,  ,  , 0.1
20:21:39, 74, 8, 101664, 0.05, 58.00, 12.52, 88.10,  ,  ,  , 0
20:21:40, 73, 7, 101674, 0.10, 58.00, 12.51, 88.30,  , -37.794567, 144.962048, 0
20:21:41, 73, 7, 101674, 0.15, 58.00, 12.50, 88.50,  ,  ,  , 0
20:21:42, 73, 7, 101674, 0.20, 58.00, 12.49, 88.65,  ,  ,  , 0
20:21:43, 73, 7, 101674, 0.05, 58.00, 12.48, 88.80,  , -37.794573, 144.961998, 0
20:21:44, 73, 7, 101674, 0.15, 58.00, 12.47, 88.95,  ,  ,  , 0
20:21:45, 73, 7, 101675, 0.10, 58.00, 12.47, 89.10,  ,  ,  , 0
20:21:46, 73, 7, 101676, 0.15, 58.00, 12.45, 89.30,  , -37.794570, 144.961997, 0
20:21:47, 73, 7, 101675, 0.10, 58.00, 12.44, 89.50,  ,  ,  , -0.1
20:21:48, 73, 7, 101674, 0.15, 58.00, 12.43, 89.55,  ,  ,  , -0.2
20:21:49, 73, 7, 101674, 0.15, 58.00, 12.42, 89.65, 16.8, -37.794562, 144.961997, -0.2
20:21:50, 73, 7, 101674, 0.10, 58.00, 12.42, 89.75,  ,  ,  , -0.1
20:21:51, 73, 7, 101674, 0.10, 58.00, 12.41, 89.85,  ,  ,  , -0.1
20:21:52, 73, 7, 101674, 0.15, 58.00, 12.41, 89.95,  , -37.794570, 144.961977, 0
20:21:53, 73, 7, 101673, 0.20, 58.00, 12.41, 90.10,  ,  ,  , 0
20:21:54, 73, 7, 101672, 0.20, 58.00, 12.41, 90.20,  ,  ,  , 0
20:21:55, 73, 7, 101672, 0.10, 58.00, 12.41, 90.35,  , -37.794565, 144.962035, 0
20:21:56, 73, 7, 101672, 0.05, 58.00, 12.40, 90.45,  ,  ,  , 0
20:21:57, 73, 7, 101672, 0.10, 58.00, 12.40, 90.50,  ,  ,  , 0
20:21:58, 73, 7, 101672, 0.15, 58.00, 12.40, 90.60,  , -37.794582, 144.961983, 0
20:21:59, 73, 7, 101672, 0.15, 58.00, 12.40, 90.75,  ,  ,  , 0
20:22:00, 73, 7, 101673, 0.10, 58.00, 12.40, 90.90,  ,  ,  , 0
20:22:01, 73, 7, 101674, 0.15, 58.00, 12.40, 91.00,  , -37.794557, 144.962055, 0
20:22:02, 73, 7, 101673, 0.10, 58.00, 12.41, 91.05,  ,  ,  , 0
20:22:03, 73, 7, 101672, 0.10, 58.00, 12.41, 91.15,  ,  ,  , 0
20:22:04, 73, 7, 101672, 0.10, 58.00, 12.40, 91.25,  , -37.794553, 144.962058, 0
20:22:05, 73, 7, 101672, 0.15, 58.00, 12.40, 91.30,  ,  ,  , 0
20:22:06, 73, 7, 101673, 0.10, 58.00, 12.40, 91.35,  ,  ,  , 0
20:22:07, 73, 7, 101674, 0.10, 58.00, 12.39, 91.40,  , -37.794552, 144.962057, 0
20:22:08, 73, 7, 101673, 0.05, 58.00, 12.39, 91.40,  ,  ,  , 0
