Aeroqual Connect · University of Melbourne (AQM65 04112021-856),,,,,,,,,,,,,,,,,,,
Data export,,,,,,,,,,,,,,,,,,,
1/1/2025 to 3/31/2026,,,,,,,,,,,,,,,,,,,
"(UTC+10:00) Canberra, Melbourne, Sydney (Summer time adjusted)",,,,,,,,,,,,,,,,,,,
Averaging period: 1 hour,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,CO (ppm),NO2 (ppm),NOx (ppm),O3 (ppm),PM2.5 (µg/m³),Ext BC (ng/m³),Ext UVPM (ng/m³),Ext BC(Blue) (ng/m³),Ext BC(Green) (ng/m³),Ext BC(Red) (ng/m³),WS (m/s),WD (°),PRESS (hPa),Pyrano (W/m²),AIR T (°C),AIR RH (%),ITEMP (°C),TEMP (°C),RH (%)
30/3/2026 0:00,0.191,0.007,0.011,0.018,0.95,,,,,,0.34,157,1009.9,0.8,14.9,85,30,15.31,82.6
30/3/2026 1:00,0.203,0.008,0.014,0.016,1.11,,,,,,0.3,335.2,1009.8,0.8,14.6,85.4,30,14.99,83.5
30/3/2026 2:00,0.22,0.01,0.015,0.015,1.26,,,,,,0.32,6,1009.1,0.8,14,87.3,30,14.47,85.5
30/3/2026 3:00,0.265,0.011,0.022,0.013,1.71,,,,,,0.31,21.6,1008.4,0.7,13.3,89.1,30,13.86,86.9
30/3/2026 4:00,0.266,0.012,0.025,0.012,1.89,,,,,,0.3,6.6,1008.3,0.8,13.1,90,30,13.59,88
30/3/2026 5:00,0.321,0.011,0.037,0.012,2.28,,,,,,0.3,49,1008.4,0.7,12.7,91,30,13.16,88.7
30/3/2026 6:00,0.342,0.009,0.039,0.012,2.29,,,,,,0.48,66.5,1008.6,0.7,12.1,91.4,30,12.58,89.6
30/3/2026 7:00,0.405,0.012,0.058,0.012,2.8,,,,,,0.63,58.4,1008.9,13.6,12,92,30,12.33,90.3
30/3/2026 8:00,0.45,0.012,0.064,0.012,2.93,,,,,,0.3,59.8,1009.4,147.1,13.1,91,30,13.48,88.7
30/3/2026 9:00,0.457,0.012,0.058,0.013,2.72,,,,,,0.32,62.8,1009.9,309.1,15.5,84.9,30,16.72,78.4
30/3/2026 10:00,0.386,0.013,0.049,0.014,2.79,,,,,,0.3,60.6,1009.9,465.6,18.6,73.9,30,20.97,64.3
30/3/2026 11:00,0.264,0.007,0.019,0.021,1.77,,,,,,1.16,27.4,1009.4,588.5,22.5,57.2,30,25.63,47.2
30/3/2026 12:00,0.186,0.001,0.006,0.03,1.09,,,,,,1.4,13.3,1009,644,23.5,47.5,30,26.32,39.8
30/3/2026 13:00,0.185,0.002,0.006,0.032,1.06,,,,,,0.64,358.9,1008.4,636,24.1,47.8,30,27.08,39.3
30/3/2026 14:00,0.182,0.003,0.006,0.033,1.11,,,,,,1.66,25,1007.5,643.1,24.8,46.6,30,28.06,37.8
30/3/2026 15:00,0.183,0.002,0.007,0.034,1.17,,,,,,1.12,36.6,1006.9,574.8,25.5,44.6,30,28.35,36.7
30/3/2026 16:00,0.187,0.003,0.008,0.034,1.13,,,,,,1.06,49.8,1006.5,439.5,25.9,43.5,30,27.76,37.4
30/3/2026 17:00,0.184,0.002,0.006,0.035,1.05,,,,,,0.56,39,1006.5,272.2,25.7,42.8,30,27.1,37.6
30/3/2026 18:00,0.199,0.004,0.008,0.034,1.27,,,,,,1.16,53.9,1006.6,58.5,24.8,46,30,25.63,41.4
30/3/2026 19:00,0.229,0.006,0.011,0.031,1.9,,,,,,1,71.7,1007.1,3.3,23.4,50.2,30,23.73,46.3
30/3/2026 20:00,0.251,0.009,0.015,0.026,2.15,,,,,,0.82,74.3,1007.7,1.4,22.3,53.5,30,22.55,49.9
30/3/2026 21:00,0.284,0.012,0.016,0.023,2.69,,,,,,0.41,63.1,1008.2,1.3,21.3,56.7,30,21.61,53.1
30/3/2026 22:00,0.287,0.012,0.018,0.022,2.33,,,,,,0.38,58.3,1008.4,1.2,20.3,60.6,30,20.62,56.7
