"Device Name","WEATHER - 2674753"
"Device Model","5500L"
"Serial Number","2674753"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","km/h","°C","°C","m","km/h","km/h","Deg","Deg","°C"
"2026-03-31 07:50:00 am","14.7","12.5","78.6","1017.5","0","1017.5","1.3","14.4","11.0","-2","--","--","--","--","14.7","point"
"2026-03-31 08:00:00 am","15.2","12.3","71.8","1012.5","39","1012.6","0.0","14.6","10.1","61","--","--","--","--","15.1","point"
"2026-03-31 08:10:00 am","15.2","12.3","72.2","1012.5","40","1012.6","0.0","14.7","10.2","63","--","--","--","--","15.2","point"
"2026-03-31 08:20:00 am","15.9","12.6","69.2","1012.7","39","1012.8","0.0","15.1","10.3","85","--","--","--","--","15.8","point"
"2026-03-31 08:30:00 am","17.1","13.3","65.9","1012.9","38","1012.9","0.0","16.1","10.7","128","--","--","--","--","17.0","point"
"2026-03-31 08:40:00 am","18.1","13.8","62.4","1012.7","39","1012.8","0.0","16.9","10.8","164","--","--","--","--","18.0","point"
"2026-03-31 08:50:00 am","19.6","14.6","58.7","1012.9","37","1012.9","0.0","18.6","11.3","220","--","--","--","--","19.5","point"
"2026-03-31 09:00:00 am","20.2","14.7","55.9","1012.7","38","1012.8","0.0","19.5","11.1","242","--","--","--","--","20.2","point"
"2026-03-31 09:10:00 am","22.8","16.0","50.0","1012.7","39","1012.8","0.0","22.1","11.8","334","--","--","--","--","22.7","point"
"2026-03-31 09:20:00 am","23.5","16.3","48.1","1012.7","38","1012.8","0.0","22.8","11.9","360","--","--","--","--","23.5","point"
"2026-03-31 09:30:00 am","23.1","15.9","47.2","1013.0","37","1013.0","0.0","22.3","11.3","341","--","--","--","--","23.0","point"
"2026-03-31 09:40:00 am","22.5","15.8","49.5","1012.9","37","1012.9","0.0","22.0","11.5","325","--","--","--","--","22.5","point"
"2026-03-31 09:50:00 am","26.8","17.9","41.7","1012.9","37","1012.9","0.0","25.9","12.7","475","--","--","--","--","26.7","point"
"2026-03-31 10:00:00 am","26.1","17.3","41.3","1013.0","36","1013.0","0.0","25.1","12.0","449","--","--","--","--","26.1","point"
"2026-03-31 10:10:00 am","27.2","17.7","39.6","1013.2","35","1013.2","0.0","26.1","12.2","484","--","--","--","--","27.1","point"
"2026-03-31 10:20:00 am","24.1","16.4","46.1","1013.0","35","1013.1","0.0","23.1","11.7","375","--","--","--","--","24.0","point"
"2026-03-31 10:30:00 am","27.3","18.2","41.2","1013.2","35","1013.2","0.0","26.4","13.0","490","--","--","--","--","27.2","point"
"2026-03-31 10:40:00 am","28.6","18.1","36.0","1013.0","36","1013.1","0.0","27.7","12.1","535","--","--","--","--","28.6","point"
"2026-03-31 10:50:00 am","29.3","18.2","34.0","1013.0","37","1013.0","0.0","28.2","11.8","556","--","--","--","--","29.2","point"
"2026-03-31 11:00:00 am","29.3","18.3","34.5","1013.0","36","1013.0","0.0","28.3","12.0","556","--","--","--","--","29.2","point"
"2026-03-31 11:10:00 am","33.7","20.6","30.2","1012.7","39","1012.8","0.0","33.6","13.8","714","--","--","--","--","33.6","point"
"2026-03-31 11:20:00 am","34.6","20.0","25.5","1012.5","41","1012.5","0.0","34.1","12.0","742","--","--","--","--","34.6","point"
"2026-03-31 11:30:00 am","35.8","21.1","26.3","1012.5","41","1012.5","0.0","36.0","13.5","784","--","--","--","--","35.7","point"
"2026-03-31 11:40:00 am","34.1","20.1","26.8","1012.2","43","1012.2","0.0","33.7","12.4","731","--","--","--","--","34.1","point"
"2026-03-31 11:50:00 am","32.8","19.4","27.9","1011.9","45","1011.9","0.0","32.0","11.9","687","--","--","--","--","32.7","point"
"2026-03-31 12:00:00 pm","34.6","20.2","26.1","1011.9","46","1011.9","0.0","34.3","12.4","749","--","--","--","--","34.6","point"
"2026-03-31 12:10:00 pm","35.9","21.0","25.7","1011.9","45","1011.9","0.0","36.1","13.2","797","--","--","--","--","35.9","point"
"2026-03-31 12:20:00 pm","27.0","19.8","51.9","1017.0","3","1017.0","1.2","27.2","16.3","457","--","--","--","--","27.0","point"
"2026-03-31 12:30:00 pm","27.9","18.0","38.1","1016.7","6","1016.8","0.0","27.0","12.3","473","--","--","--","--","27.9","point"
"2026-03-31 12:40:00 pm","32.0","19.3","30.0","1016.5","6","1016.6","0.0","31.1","12.2","611","--","--","--","--","31.9","point"
"2026-03-31 12:50:00 pm","31.3","19.1","31.2","1016.4","8","1016.4","0.0","30.5","12.3","593","--","--","--","--","31.3","point"
"2026-03-31 01:00:00 pm","30.6","19.0","32.7","1016.4","9","1016.4","0.0","29.8","12.4","570","--","--","--","--","30.6","point"
"2026-03-31 01:10:00 pm","29.9","18.5","33.0","1015.4","16","1015.4","0.0","28.8","11.9","552","--","--","--","--","29.8","point"
"2026-03-31 01:20:00 pm","29.1","18.2","34.2","1015.2","19","1015.2","0.0","28.1","11.7","528","--","--","--","--","29.1","point"
"2026-03-31 01:30:00 pm","28.4","17.9","35.3","1014.7","21","1014.8","0.0","27.3","11.6","508","--","--","--","--","28.4","point"
"2026-03-31 01:40:00 pm","27.8","17.6","36.3","1014.7","23","1014.7","0.0","26.6","11.5","488","--","--","--","--","27.8","point"
"2026-03-31 01:50:00 pm","27.3","17.4","37.1","1014.5","23","1014.5","0.0","26.1","11.4","471","--","--","--","--","27.2","point"
"2026-03-31 02:00:00 pm","26.8","17.1","37.8","1014.2","26","1014.2","0.0","25.5","11.2","457","--","--","--","--","26.7","point"
"2026-03-31 02:10:00 pm","26.3","16.9","38.5","1014.0","27","1014.1","0.0","25.2","11.1","441","--","--","--","--","26.3","point"
"2026-03-31 02:20:00 pm","24.8","16.5","43.0","1014.2","26","1014.3","0.0","23.6","11.4","387","--","--","--","--","24.7","point"
"2026-03-31 02:30:00 pm","24.7","17.0","46.1","1013.7","29","1013.8","0.0","23.8","12.4","395","--","--","--","--","24.7","point"
