Time,Obs taken by,Cloud oktas,Cloud description,Weather/met obs,Pressure (hPa),Temp (°C),Dewpoint (°C),RH (%),Wind speed (m/s),CO2 (ppm),PM 2.5 (μg/m3),Temp (°C) - from small CO2 sensor,AQI,Voltage
7:29,Theo,1,"Stratocirrus, stratus",,,10.9,,89,,483,8,10.9,7,
7:35,Theo,1,cirrus,"sun low, no wind gusts",1017.1,16,13.8,79,2,,,,,
7:45,Noel,2,cirrus,"sun low, no wind gusts, light surface wind",1017.2,14.1,12.2,81,1,,,,,
7:55,Hech,2,"cirrus, some stratus","sun risen, no wind gusts",1017.2,13.8,12,82,0,,,,,
8:05,Eliza,2,"cirrus, some stratus","small light wind gusts, dewy grass",1017.4,14.1,13.9,78,1,,,,,
8:15,Eliza,2,"cirrus, some stratus","light winds on tree tops, sun continuing to rise, obs area shaded",1017.5,14.2,10.8,79,1,,,,,
8:25,Elly,3,"cirrus, altostratus","light winds, continued sunrise, decreasing shaded area on oval",1017.5,15,13.3,75.9,2,,,,,1.4
8:35,Bonnie,3,cirrus,"dew, light wind in treetops",1017.7,15.5,11.3,74.7,0.5,507,9,13.9,9,1.48
8:45,Elly,3,cirrus,"dew, light wind in treetops",1018,15.7,11.1,73,2,478,7,14.5,6,1.5
8:55,Elise,5,cirrus,"dew, light wind in treetops",1017.7,16.3,11.6,72,1.8,480,8,16.3,9,1.54
9:05,Rinaldi,5,"cirrus, some cumulus, cirrostratus","dew, light wind in treetops",1017.7,16.2,12.1,70.9,1.6,469,10,17.2,9,1.5
9:15,Ekky,5,"cirrus, some cumulus","dew, light wind in treetops",1017.6,19.2,12.6,67,1.1,479,7,23.3,8,1
9:25,Benedict,5,"cirrus, altocumulus","dew, light wind in treetops, now in full sun",1017.5,18.9,13.2,67.3,2.1,475,8,21.6,6,1.56
9:35,Rinaldi,5,"cirrus, altocumulus","dew, light wind in treetops",1017.3,18.9,13,66.4,2,459,8,20.9,9,1.55
9:45,Fuilen,6,cirrus,"sunny, some dew on ground, some dry patches",1017.6,19.9,13.5,60.1,12,451,6,28.8,9,1.96
9:55,Fuilen,6,cirrus,"sunny, some dew on ground, some dry patches",1017.5,22.5,13.4,61.2,1.2,464,8,27.4,8,1.91
10:05,Ekky,6,cirrus,"sunny, dew on ground",1017.5,23,13.6,60.4,1.2,449,6,27.8,6,1.99
10:15,Nick,3,cirrus,sunny,1017.6,21.1,13.6,60.1,1.2,449,6,24.1,6,1.89
10:25,Nick,3,cirrus,sunny,1017.6,21.2,14.5,59.6,1.2,445,5,28,5,2.03
10:35,Kaihang,3,"cirrus, some cumulus","sunny, light wind",1017.6,21.8,17.9,58.3,1.2,431,5,29,4,1.43
10:45,Kaihang,3,cirrus,sunny,1017.6,22,15.1,57.7,1.2,435,5,32.1,5,1.36
10:55,Ruisi,5,cirrus,"sunny, cloudy",1017.5,25.2,14.2,51,1.3,426,4,28.5,4,1.2
11:05,,,,,,,,,,,,,,
11:15,Lia Lu,3,cirrus,"sunny, windy",1017.2,24.4,13.5,50.5,2.3,410,2.5,30.2,3,2.12
11:25,Anna,3,"cirrus, some cumulus",sunny,1017.1,24.6,15.7,45.5,4.5,404,4,34,4,1.78
11:35,Anna,3,"cirrus, some cumulus","sunny, windy",1016.7,25.5,15,45.4,3,411,3,32.7,3,1.85
11:45,Anna,3,"cirrus, some cumulus","sunny, windy",1016.6,25.3,15,46.1,1.5,412,3,34.8,3,2.06
11:55,Anna,3,"cirrus, some cumulus","sunny, windy",1016.6,25.3,13.6,48.4,2.8,415,4,33.1,4,1.93
,,,,,,,,,,,,,,
No obs,,,,,,,,,,,,,,
