"Device Name","PRO - 2617667"
"Device Model","5200L"
"Serial Number","2617667"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Heat Index","Dew Point","Humidity Ratio","Density Altitude","Relative Air Density","Air Flow","Air Speed","Evaporation Rate","Wind Chill","Delta T","Air Density","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","°C","°C","g/kg","m","%","m3/m","km/h","kg/m²/h","°C","°C","kg/m3"
"2026-03-31 07:50:00 am","14.4","12.6","81.9","1017.9","-1","1017.9","14.2","11.3","8.30","-17","100.1","0","0.0","0.08","14.3","1.8","1.227","point"
"2026-03-31 08:00:00 am","13.7","12.1","83.4","1018.0","-2","1018.1","13.6","10.9","8.07","-47","100.4","0","0.0","0.08","13.6","1.6","1.230","point"
"2026-03-31 08:10:00 am","13.6","12.0","82.5","1018.0","-1","1018.0","13.5","10.7","7.95","-48","100.4","0","0.0","0.08","13.6","1.6","1.230","point"
"2026-03-31 08:20:00 am","12.8","12.0","91.4","1018.2","-3","1018.2","12.9","11.4","8.35","-78","100.7","0","0.0","0.08","12.7","0.8","1.234","point"
"2026-03-31 08:30:00 am","13.0","11.8","87.3","1018.2","-4","1018.3","13.0","10.9","8.07","-74","100.7","0","0.0","0.08","12.9","1.2","1.233","point"
"2026-03-31 08:40:00 am","15.1","12.9","78.1","1018.2","-4","1018.2","14.7","11.3","8.30","4","99.9","0","0.0","0.08","15.0","2.2","1.224","point"
"2026-03-31 08:50:00 am","16.2","13.4","73.3","1018.2","-4","1018.3","15.7","11.5","8.37","46","99.5","0","0.0","0.08","16.2","2.8","1.219","point"
"2026-03-31 09:00:00 am","17.8","14.6","71.0","1018.2","-3","1018.2","17.1","12.5","8.97","107","98.9","0","0.0","0.07","17.8","3.2","1.212","point"
"2026-03-31 09:10:00 am","18.2","14.4","66.9","1018.2","-4","1018.2","17.3","12.0","8.68","120","98.8","0","0.0","0.07","18.2","3.8","1.210","point"
"2026-03-31 09:20:00 am","22.2","16.5","56.4","1017.5","2","1017.6","22.0","13.1","9.38","271","97.4","0","0.0","0.06","22.2","5.7","1.193","point"
"2026-03-31 09:30:00 am","22.8","16.6","53.8","1018.0","-2","1018.0","22.4","12.9","9.23","285","97.2","0","0.0","0.06","22.7","6.2","1.191","point"
"2026-03-31 09:40:00 am","21.1","16.1","60.0","1018.0","-2","1018.0","20.8","13.0","9.28","225","97.8","0","0.0","0.06","21.0","5.0","1.198","point"
"2026-03-31 09:50:00 am","25.6","18.0","47.3","1017.7","0","1017.8","25.0","13.6","9.65","389","96.3","0","0.0","0.06","25.6","7.6","1.179","point"
"2026-03-31 10:00:00 am","25.8","18.0","47.1","1018.0","-1","1018.0","25.2","13.7","9.72","394","96.2","0","0.0","0.06","25.8","7.8","1.179","point"
"2026-03-31 10:10:00 am","25.5","17.9","47.7","1018.0","-1","1018.0","24.7","13.6","9.64","381","96.3","0","0.0","0.06","25.4","7.6","1.180","point"
"2026-03-31 10:20:00 am","23.9","17.0","50.2","1018.0","-3","1018.1","23.3","12.9","9.25","325","96.9","0","0.0","0.06","23.9","6.9","1.187","point"
