Device Name,HEAT - 2595695,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Model,5400CL,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number,2595695,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Globe Temperature,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,NWB Temp,Compass True Direction,Thermal Work Limit,Wet Bulb Globe Temperature,Wind Chill,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
YYYY-MM-DD HH:MM:SS,°C,°C,°C,%,mb,m,mb,km/h,°C,°C,m,km/h,km/h,Deg,°C,Deg,w/m2,°C,°C,,,,,,,,
2026-03-31 07:33:05 am,16.2,16.2,12.6,100.0,1017.2,-34,1017.1,0.0,16.8,16.1,73,--,--,--,16.2,--,278.6,15.5,16.1,point,,,,,,,
2026-03-31 07:33:07 am,16.1,16.1,12.6,100.0,1016.9,-32,1016.9,0.0,16.8,16.1,75,--,--,--,16.1,--,279.1,15.4,16.1,point,,,,,,,
2026-03-31 07:35:22 am,16.2,13.9,12.5,78.6,1017.0,-34,1017.1,0.0,15.8,12.4,59,--,--,--,14.1,--,292.6,14.0,16.1,point,,,,,,,
2026-03-31 07:40:00 am,14.2,12.4,12.7,81.8,1017.2,-35,1017.3,3.2,14.0,11.1,-19,--,--,--,12.5,--,320.0,12.7,14.1,point,,,,,,,
2026-03-31 07:50:00 am,14.0,12.1,13.1,80.7,1017.2,-36,1017.3,3.1,13.7,10.7,-27,--,--,--,12.2,--,320.0,12.5,13.9,point,,,,,,,
2026-03-31 08:00:00 am,13.9,12.1,13.4,81.5,1017.5,-36,1017.5,2.7,13.8,10.8,-32,--,--,--,12.1,--,320.0,12.5,13.9,point,,,,,,,
2026-03-31 08:10:00 am,14.1,12.2,13.9,79.7,1017.5,-36,1017.5,2.1,13.9,10.7,-24,--,--,--,12.3,--,320.0,12.8,14.1,point,,,,,,,
2026-03-31 08:20:00 am,14.6,12.4,14.3,78.8,1017.5,-37,1017.6,2.1,14.3,10.9,-9,--,--,--,12.3,--,320.0,12.9,14.5,point,,,,,,,
2026-03-31 08:30:00 am,15.0,12.6,15.7,76.3,1017.7,-39,1017.7,4.6,14.5,10.9,4,--,--,--,12.7,--,320.0,13.5,14.9,point,,,,,,,
2026-03-31 08:40:00 am,15.6,12.8,17.0,73.8,1017.7,-39,1017.7,4.5,15.0,10.9,26,--,--,--,12.9,--,320.0,14.0,15.5,point,,,,,,,
2026-03-31 08:50:00 am,15.9,13.0,19.0,73.0,1017.7,-39,1017.8,6.7,15.2,11.1,36,--,--,--,13.3,--,320.0,14.7,15.6,point,,,,,,,
2026-03-31 09:00:00 am,16.5,13.6,20.2,72.6,1017.7,-38,1017.7,4.3,15.9,11.6,61,--,--,--,14.2,--,320.0,15.6,16.5,point,,,,,,,
2026-03-31 09:10:00 am,17.7,14.2,24.7,69.1,1017.7,-38,1017.6,4.3,16.9,12.0,107,--,--,--,15.5,--,320.0,17.5,17.7,point,,,,,,,
2026-03-31 09:20:00 am,20.1,16.0,31.9,66.2,1017.4,-36,1017.4,2.1,19.8,13.6,200,--,--,--,17.8,--,282.8,20.7,20.1,point,,,,,,,
2026-03-31 09:30:00 am,18.7,15.0,29.3,67.9,1017.5,-37,1017.5,3.6,18.0,12.7,147,--,--,--,17.5,--,306.8,20.0,18.7,point,,,,,,,
2026-03-31 09:40:00 am,19.7,15.6,25.9,65.7,1017.5,-36,1017.5,2.7,19.2,13.1,184,--,--,--,16.4,--,320.0,18.5,19.7,point,,,,,,,
2026-03-31 09:50:00 am,19.9,15.3,32.7,62.2,1017.5,-37,1017.6,3.9,19.4,12.5,188,--,--,--,18.5,--,282.1,21.5,19.9,point,,,,,,,
2026-03-31 10:00:00 am,22.5,17.2,31.4,59.3,1017.5,-38,1017.6,3.3,22.3,14.2,283,--,--,--,17.9,--,288.8,20.8,22.4,point,,,,,,,
2026-03-31 10:10:00 am,20.6,15.5,32.3,58.7,1017.7,-38,1017.7,8.8,20.2,12.3,210,--,--,--,18.4,--,286.9,21.4,20.6,point,,,,,,,
2026-03-31 10:20:00 am,21.0,16.0,26.0,60.1,1017.7,-38,1017.7,3.3,20.8,13.0,227,--,--,--,17.3,--,320.0,19.4,21.0,point,,,,,,,
2026-03-31 10:30:00 am,22.8,16.8,36.6,54.9,1017.7,-38,1017.6,5.9,22.5,13.3,292,--,--,--,20.1,--,256.4,23.6,22.8,point,,,,,,,
2026-03-31 10:40:00 am,24.4,17.8,36.5,52.7,1017.5,-37,1017.6,5.2,23.9,14.1,352,--,--,--,20.0,--,254.2,23.6,24.4,point,,,,,,,
2026-03-31 10:50:00 am,23.4,16.9,35.5,52.3,1017.5,-37,1017.6,13.3,22.9,13.1,312,--,--,--,20.0,--,267.1,23.5,23.4,point,,,,,,,
2026-03-31 11:00:00 am,23.8,17.2,34.7,51.8,1017.5,-37,1017.5,6.9,23.2,13.3,328,--,--,--,20.0,--,271.6,23.3,23.7,point,,,,,,,
2026-03-31 11:10:00 am,24.5,17.5,39.0,50.5,1017.2,-36,1017.3,4.6,23.8,13.5,355,--,--,--,21.2,--,233.7,25.1,24.4,point,,,,,,,
2026-03-31 11:20:00 am,25.2,17.8,38.6,48.8,1017.2,-34,1017.2,6.2,24.5,13.6,379,--,--,--,21.0,--,244.1,24.9,25.1,point,,,,,,,
2026-03-31 11:30:00 am,26.5,18.6,38.9,47.0,1017.0,-32,1017.0,2.6,26.1,14.3,430,--,--,--,21.1,--,238.9,25.0,26.5,point,,,,,,,
2026-03-31 11:40:00 am,25.1,17.4,38.7,46.6,1016.7,-31,1016.9,8.2,24.3,12.9,379,--,--,--,20.8,--,248.6,24.8,25.1,point,,,,,,,
2026-03-31 11:50:00 am,25.6,18.0,39.2,47.9,1016.7,-30,1016.8,4.4,25.0,13.8,401,--,--,--,21.4,--,240.0,25.3,25.6,point,,,,,,,
2026-03-31 12:00:00 pm,25.9,18.4,37.0,48.7,1016.5,-29,1016.5,5.8,25.5,14.3,415,--,--,--,20.7,--,261.3,24.4,25.9,point,,,,,,,
2026-03-31 12:10:00 pm,29.8,19.5,32.3,38.2,1016.5,-29,1016.5,0.0,29.5,14.1,546,--,--,--,19.3,--,199.8,22.6,29.7,point,,,,,,,
2026-03-31 12:20:00 pm,30.2,19.5,31.8,36.9,1016.4,-27,1016.4,0.0,29.8,13.8,559,--,--,--,20.5,--,195.3,23.7,30.1,point,,,,,,,
2026-03-31 12:30:00 pm,30.1,19.5,29.9,36.6,1016.2,-26,1016.3,0.0,29.6,13.6,558,--,--,--,20.7,--,203.8,23.5,30.0,point,,,,,,,
2026-03-31 12:40:00 pm,29.7,19.5,28.3,38.4,1016.2,-25,1016.2,0.0,29.5,14.1,548,--,--,--,20.7,--,211.7,23.1,29.7,point,,,,,,,
2026-03-31 12:50:00 pm,29.8,19.4,28.0,37.9,1016.0,-25,1016.1,0.0,29.4,13.9,550,--,--,--,20.6,--,213.5,23.0,29.7,point,,,,,,,
2026-03-31 01:00:00 pm,29.1,18.8,26.5,37.2,1015.0,-16,1015.1,0.0,28.5,13.1,535,--,--,--,20.1,--,223.7,22.3,29.1,point,,,,,,,
2026-03-31 01:10:00 pm,28.4,18.4,25.0,38.1,1014.7,-15,1014.9,0.0,27.7,12.8,512,--,--,--,19.6,--,232.0,21.6,28.4,point,,,,,,,
2026-03-31 01:20:00 pm,27.8,18.1,24.2,38.8,1014.5,-12,1014.6,0.0,26.8,12.5,493,--,--,--,19.2,--,236.9,21.1,27.8,point,,,,,,,
2026-03-31 01:30:00 pm,27.3,17.8,23.7,39.5,1014.4,-11,1014.4,0.0,26.2,12.3,475,--,--,--,18.9,--,239.8,20.7,27.2,point,,,,,,,
2026-03-31 01:40:00 pm,26.7,17.5,23.4,40.1,1014.2,-8,1014.2,0.0,25.8,12.0,457,--,--,--,18.6,--,242.4,20.4,26.7,point,,,,,,,
2026-03-31 01:50:00 pm,26.2,17.2,23.0,40.7,1014.0,-8,1014.0,0.0,25.2,11.8,442,--,--,--,18.3,--,244.4,20.0,26.2,point,,,,,,,
2026-03-31 02:00:00 pm,25.8,17.0,22.9,41.3,1013.9,-6,1013.9,0.0,24.6,11.7,427,--,--,--,18.0,--,245.3,19.8,25.8,point,,,,,,,
2026-03-31 02:10:00 pm,25.4,16.8,22.9,41.9,1014.0,-8,1014.1,0.0,24.2,11.5,411,--,--,--,17.8,--,245.8,19.6,25.3,point,,,,,,,
2026-03-31 02:20:00 pm,25.1,16.8,23.0,43.2,1013.9,-7,1013.9,0.0,23.9,11.7,403,--,--,--,17.8,--,244.7,19.6,25.0,point,,,,,,,
2026-03-31 02:30:00 pm,24.5,17.2,23.1,48.2,1013.5,-4,1013.6,0.0,23.7,12.9,391,--,--,--,18.0,--,240.8,19.7,24.5,point,,,,,,,
2026-03-31 02:40:00 pm,24.4,16.7,22.7,46.0,1013.4,-3,1013.4,0.0,23.5,12.0,386,--,--,--,17.6,--,245.4,19.3,24.4,point,,,,,,,
2026-03-31 02:50:00 pm,23.8,16.6,22.9,48.1,1013.2,-2,1013.3,0.0,23.1,12.2,367,--,--,--,17.4,--,244.0,19.2,23.8,point,,,,,,,
2026-03-31 03:00:00 pm,23.3,16.3,23.0,49.0,1013.2,-2,1013.3,0.0,22.7,12.0,350,--,--,--,17.1,--,244.3,18.9,23.3,point,,,,,,,
