,w,thetav
0,-0.23175,294.2614299786905
1,-0.63725,294.3343142047297
2,-0.5335,294.4229654423639
3,-0.58875,294.2419957021771
4,-0.078,294.07959110288857
5,0.036000000000000004,294.1262415104823
6,0.11,294.10028043119627
7,-0.5420001,294.0553838749919
8,-0.33375,294.2424415931549
9,-0.6892501,294.10202408577516
10,-0.65575,294.14049374664637
11,-0.46,294.23204999011483
12,-0.40275,294.1508547561545
13,-0.10925,294.0726776654354
14,0.3405,294.1072244590807
15,0.18925,294.13831453399945
16,0.184,294.0571275295708
17,0.4015,293.9339361782404
18,0.2855,294.0402795336185
19,0.33299999999999996,293.859231667809
20,0.59925,294.01606985195286
21,0.4055,293.9729023782837
22,-0.03575,293.95908429965823
23,0.34125,293.91030365657804
24,0.22025,293.91547343945234
25,0.379,293.9741968705632
26,0.4605,293.97935645662716
27,0.51875,293.9448504502234
28,0.32625,294.01640298032396
29,0.1835,293.95043652794277
30,0.32299999999999995,294.0126433763675
31,0.4045,293.8972321531637
32,0.30025,293.94701005235737
33,0.4115,293.9608281309829
34,0.8272501,293.889028448994
35,0.48100000000000004,294.0185817414726
36,0.40875,293.9870588974554
37,0.59325,293.9845874203639
38,0.6995,293.9608281309829
39,0.56625,294.0022517733274
40,0.5579999999999999,293.9850378126485
41,0.7442501,293.9417785583833
42,0.546,293.91547343945234
43,0.503,293.86882303185865
44,0.348,293.91030365657804
45,0.48825,293.8982000426297
46,0.42025,293.95866712831946
47,0.40425,293.94136314106555
48,0.64025,293.8641015806044
49,0.7495,293.7704034178489
50,0.6037501000000001,293.94009591412265
51,0.35,293.9396500769178
52,0.6925001000000001,293.89304045656576
53,0.6472501,293.87056668643754
54,0.493,293.8187566927799
55,0.2035,294.08649434353146
56,0.36725,293.98110011120605
57,0.26,293.90340041593515
58,0.66475,293.9241203346741
59,0.5055,293.87231034101643
60,0.449,293.90685713466183
61,0.37375,293.9534667550139
62,0.53125,293.9310337721273
63,0.4285,293.87399281473296
64,0.8140000000000001,293.8774801238908
65,1.22125,293.9369002408881
66,1.02725,293.90508288965174
67,1.1255,293.9097896062932
68,1.1035,293.8838687507654
69,1.04575,293.8407047140033
70,1.06675,293.8636634457947
71,1.18875,293.8264719255378
72,1.2035,293.791153927019
73,1.33325,293.86191979121577
74,1.314,293.775593594344
75,1.272,293.77982523369514
76,1.3365,293.81649695986374
77,1.0625,293.8584936629204
78,1.2385,293.91547343945234
79,1.188,293.87869885550475
80,0.9235001,293.8519661462396
81,1.08075,293.8934509756481
82,1.17375,293.8588700866303
83,1.4165,293.8441309167796
84,1.382,293.92624724196514
85,0.85,293.8510037163964
86,0.9440001,293.77292254290217
87,0.85075,293.8982000426297
88,0.5035,294.4338384930991
89,0.66225,294.3059093097831
90,0.86075,294.2276718841152
91,0.8240001,294.341746081908
92,1.27225,294.1878932620011
93,1.46275,293.92830955572913
94,1.43775,293.89861108471416
95,1.3045,293.9546667444434
96,1.42475,293.83680047173164
97,1.1135,293.845416090225
98,1.3090000000000002,293.845416090225
99,1.27025,293.90508288965174
100,0.50225,294.2696290583693
101,1.31825,294.05438280149485
102,0.7647501,293.9041348439566
103,1.2565,293.85452169246133
104,1.304,293.8713751016855
105,1.314,293.9546667444434
106,1.227,293.9658253694985
107,0.75675,293.93050997546413
108,0.65125,293.70993633215915
109,0.79175,293.8256701302331
110,0.85825,293.9482765785188
111,1.01325,293.8109128322587
112,0.94125,293.82688773554537
113,0.69375,293.8602067270681
114,0.63125,293.78198000629897
115,0.8100001,293.8436725745299
116,0.79575,293.90901288559826
117,0.779,293.8360606800338
118,0.8907501,293.8372173290346
119,0.77425,293.89765513812716
120,0.8947501,293.8101097975582
121,0.9085,293.8264719255378
122,0.9775,293.8562653849457
123,1.1085,293.83547363655026
124,0.8815001,293.8515598318464
125,0.674,293.8113576556993
126,0.85425,293.8792237784697
127,0.7575001,293.9210565393671
128,0.743,293.8727187587878
129,0.7020000000000001,293.85327289599405
130,0.84325,293.82741378481205
131,0.83775,293.8489031216152
132,0.9955,293.8264719255378
133,0.9702501,293.860613917955
134,1.0985,293.88787067369145
135,1.1235,293.8550063537626
136,1.1785,293.82688773554537
137,1.202,293.84987735812985
138,1.264,293.80271057250195
139,1.1840000000000002,293.80018149438695
140,1.13575,293.81228633521977
141,1.2035,293.757363449623
142,1.29275,293.764266140416
143,1.16625,293.86446221489433
144,1.1775,293.8623577492797
145,1.20275,293.8441309167796
146,1.19125,293.9578804581925
147,1.24225,293.8441309167796
148,1.183,293.8861270191125
149,1.2345,293.81475326737933
150,1.215,293.8118534521371
151,1.29225,293.80591548203483
152,1.254,293.83896102151897
153,1.22425,293.88038136579667
154,1.17675,293.8429333302454
155,1.24025,293.81362769714724
156,1.138,293.98284376578493
157,1.156,293.90901288559826
158,1.2890000000000001,293.7928364007355
159,1.29,293.82218282107533
160,1.2695,293.95908429965823
161,1.2545,294.3024933782981
162,1.30175,294.31230725031526
163,1.41175,294.2397451700887
164,1.16525,294.2876981008816
165,1.39325,294.1044862089205
